3602432,3592428,10376,3602804,3547452,2506754,6054206,986472
3645184,3632266,13283,3645549,3586693,2614996,6201689,913801
3709184,3699290,10252,3709542,3653217,2954489,6607706,634451
3729664,3713686,16351,3730037,3666684,2656301,6322985,952578
3765504,3756599,9273,3765872,3710105,3337683,7047788,299403
3794176,3786795,7774,3794569,3739852,3256211,6996063,412740
3810048,3799414,11034,3810448,3752144,3266029,7018173,415002
3841280,3833786,7901,3841687,3786472,3483392,7269864,227037
3904000,3887110,17333,3904443,3837638,2884072,6721710,890937
3966464,3956161,10741,3966902,3907034,3638844,7545878,188986
3944448,3937176,7698,3944874,3888570,3633988,7522558,175440
4009728,4002253,7885,4010138,3952898,3750733,7703631,120656
4032768,4016594,16621,4033215,3965972,3426877,7392849,464842
4110336,4086083,24729,4110812,4033073,3177785,7210858,786667
4121344,4109517,12302,4121819,4058108,3788424,7846532,187307
4162048,4153416,9025,4162441,4101994,3956991,8058985,59018
4210688,4198847,12290,4211137,4146595,4011470,8158065,48201
4211712,4199807,12329,4212136,4147464,3979546,8127010,81540
4252672,4243537,9623,4253160,4190962,4056760,8247722,46028
4384256,4371997,12673,4384670,4317692,4179813,8497505,47098
4344320,4335607,9205,4344812,4281974,4146661,8428635,45226
4441088,4432205,9364,4441569,4377492,4240650,8618142,44773
4403200,4393632,10020,4403652,4339342,4203977,8543319,44084
4454144,4438188,16384,4454572,4382479,4242539,8625018,48018
4481280,4467233,14542,4481775,4411402,4273280,8684682,45331
4477696,4466776,11371,4478147,4411478,4267704,8679182,51200
4518656,4493139,25789,4518928,4435087,3757732,8192819,595619
4603904,4587965,16447,4604412,4530113,4310742,8840855,125863
4621312,4596107,25766,4621873,4536850,3905284,8442134,547334
4633856,4613552,20834,4634386,4555041,4274084,8829125,188294
4707584,4683266,24892,4708158,4623223,4184913,8808136,347974
4717312,4703369,14404,4717773,4644576,4501213,9145789,45666
4737024,4727297,10223,4737520,4668730,4528876,9197606,41635
4782336,4771630,11187,4782817,4712365,4570452,9282817,42531
4864512,4851514,13319,4864833,4791038,4629079,9420117,61903
4858624,4824210,34971,4859181,4761353,4366989,9128342,300046
4909824,4897900,12461,4910361,4837127,4693734,9530861,41481
4928512,4913194,15805,4928999,4851977,4703850,9555827,46142
4992512,4981062,11965,4993027,4919218,4774997,9694215,40558
5002240,4987446,15292,5002738,4925093,4776338,9701431,45088
5006848,4990946,16165,5007111,4928369,4698541,9626910,128182
5358848,5307536,52322,5359858,5235491,4970588,10206079,157671
5669120,5653158,16582,5669740,5582508,5426004,11008512,38724
6019072,5992850,26895,6019745,5917187,5748308,11665495,44030
6287872,6267325,21256,6288581,6188295,6015780,12204075,41928
6551040,6521514,30299,6551813,6438429,6263251,12701680,39481
6849536,6812494,37854,6850348,6724388,6544263,13268651,38358
7062272,7022387,40761,7063148,6931942,6749086,13681028,36816
7365376,7036183,325204,7361387,6899357,6569399,13468756,195174
7615488,7556833,59556,7616389,7457196,7266408,14723604,34806
7726592,7654169,73346,7727515,7551834,7358138,14909972,36019
7913216,7831075,82800,7913875,7725312,7528153,15253465,36127
8011008,7677803,327435,8005238,7532182,7230632,14762814,153792
8007680,7513140,492346,8005486,7343560,6972036,14315596,234034
7786752,7547230,222762,7769992,7422080,7158267,14580347,114422
8071424,7968103,99619,8067722,7859937,7658547,15518484,38571
8379392,8261708,114887,8376595,8147056,7940509,16087565,39383
8267008,7806789,452647,8259436,7641326,7305828,14947154,191375
8115200,7593418,503939,8097357,7418304,7043971,14462275,236640
256,-575649182,-4635386,-580284568,-567999387,-362768582,-930767969,253
256,256,0,256,252,0,252,252
256,256,0,256,254,0,254,254
512,510,3,513,503,0,503,503
512,511,1,512,505,0,505,505
768,765,4,769,754,0,754,754
768,768,0,768,757,0,757,757
1024,1016,8,1024,1003,0,1003,1003
1536,1535,1,1536,1516,0,1516,1516
1792,1792,0,1792,1770,0,1770,1770
2560,2557,3,2560,2531,0,2531,2531
3328,3316,12,3328,3280,0,3280,3280
4352,4346,7,4353,4291,0,4291,4291
5632,5614,18,5632,5551,0,5551,5551
7424,7410,14,7424,7316,0,7316,7316
9728,9700,28,9728,9577,0,9577,9577
12544,12521,25,12546,12369,0,12369,12369
16640,16611,30,16641,16406,0,16406,16406
22016,21969,49,22018,21686,0,21686,21686
28928,28878,52,28930,28515,0,28515,28515
37888,37854,35,37889,37389,0,37389,37389
50176,50106,75,50181,49492,0,49492,49492
63232,63134,100,63234,62360,0,62360,62360
65024,64942,90,65032,64150,0,64150,64150
66048,65918,140,66058,65102,0,65102,65102
67328,67219,114,67333,66394,0,66394,66394
